name,location_str,latitude,longitude,price,rating,cuisine,recommender,date,neighborhood
Kogane Ramen,337 West 14th St,40.74066,-74.00426,$$,4.5,Ramen,Robert Sietsema,2019-02-22,West Village
Kiki’s,130 Division St,40.7144971858255,-73.99185539313359,$$,4.0,Greek,Monica Burton,2019-02-22,Lower East Side
the NoMad Bar,10 West 28th St,40.7449365409844,-73.9885197632294,$$$,4.5,Cocktail Bars,Stefanie Tuder,2019-02-22,Flatiron District
Tipsy Shanghai,228 Thompson St,40.72929,-73.99882,$$,4.0,Chinese,Robert Sietsema,2019-02-22,Greenwich Village
Thai Son,89 Baxter St,40.716770000000004,-73.9995,$,3.5,Vietnamese,Serena Dai,2019-02-22,Chinatown
Fradei,99 South Portland Ave,40.68656,-73.97433000000001,,5.0,Italian,Robert Sietsema,2019-02-15,Fort Greene
Taco Recipes,23 Essex St,40.715260686971796,-73.9900060870141,$,3.5,Mexican,Serena Dai,2019-02-15,Lower East Side
Shane’s Brooklyn,794 Washington Ave,40.674209999999995,-73.96324,$$,3.5,American (New),Kayla Kumari Upadhyaya,2019-02-15,Prospect Heights
Marcus B & P,56 Halsey St,40.7405676328061,-74.1711439974088,$$,4.0,American (New),Robert Sietsema,2019-02-08,East Newark
Spicy Moon,328 East 6th St,40.72674,-73.98722,,4.5,Szechuan,Monica Burton,2019-02-08,East Village
Sous Vide Kitchen,119 East 23rd St,40.73995,-73.98538,$$,4.0,American (New),Robert Sietsema,2019-02-08,Flatiron District
Peaches HotHouse,87 South Elliott Pl,40.68695,-73.97541,,3.5,Chicken Shop,Serena Dai,2019-02-08,Fort Greene
Buttah Bakery,377 Onderdonk Ave,40.70816,-73.913809,$$,5.0,Bakeries,Robert Sietsema,2019-02-01,Ridgewood
Factory Tamal,34 Ludlow St,40.7159893975333,-73.9903887679246,$,4.5,Mexican,Carla Vianna,2019-02-01,Lower East Side
Grace Street,17 West 32nd St,40.7478576793883,-73.9865590631962,$$,4.0,Coffee & Tea,Serena Dai,2019-02-01,Garment District
Bronx Alehouse,216 West 238th St,40.8847016520226,-73.8994980779851,$$,4.0,American (Traditional),Robert Sietsema,2019-02-01,Kingsbridge
Kish-Kash,455 Hudson St,40.731409899999996,-74.0070099,$$,4.0,Moroccan,Robert Sietsema,2019-01-25,West Village
Augustine,5 Beekman St,40.71132,-74.00671,$$$,3.5,American (New),Serena Dai,2019-01-25,Financial District
99 Ranch Market,420 Grand St,40.7186474,-74.0527782,$$,4.0,Grocery,Stefanie Tuder,2019-01-25,Downtown
Threes Brewing,333 Douglass St,40.679629999999996,-73.98227,,4.5,Burgers,Stefanie Tuder,2019-01-25,Gowanus
Sapthagiri,804 Newark Ave,40.73571680043,-74.06503334349291,$$,3.5,Indian,Robert Sietsema,2019-01-18,Journal Square
Madcap Cafe,387 Court St,40.68007,-73.99685,$$,4.5,Cafes,Serena Dai,2019-01-18,Carroll Gardens
Marta,29 East 29th St,40.744521275073204,-73.9845828515206,$$$,4.0,Pizza,Stefanie Tuder,2019-01-18,Flatiron District
Miss Ada,184 Dekalb Ave,40.689436,-73.9723809,$$$,4.5,Mediterranean,Monica Burton,2019-01-11,Fort Greene
Joyface,104 Avenue C,40.72394,-73.97878,,5.0,Cocktail Bars,Stefanie Tuder,2019-01-11,East Village
Fairfax,234 West 4th St,40.73433,-74.00322,$$$,4.0,Breakfast & Brunch,Carla Vianna,2019-01-04,West Village
Petite Boucherie,14 Christopher St,40.73382,-74.00041999999999,$$$,4.5,French,Robert Sietsema,2018-12-28,Greenwich Village
Joseph Leonard,170 Waverly Pl,40.7336021670705,-74.001675412843,$$,4.0,American (New),Stefanie Tuder,2018-12-28,Greenwich Village
City Cakes,251 West 18th St,40.742059999999995,-73.99999,$$,4.5,Desserts,Stefanie Tuder,2018-12-28,Chelsea
Bessou,5 Bleecker St,40.725502,-73.992675,$$,4.0,Japanese,Monica Burton,2018-12-21,NoHo
Bistro Pierre Lapin,99 Bank St,40.736540000000005,-74.00639,$$$$,3.5,French,Robert Sietsema,2018-12-21,West Village
Jora,47-46 11th St,40.7438054,-73.9515007,$$,4.5,Peruvian,Robert Sietsema,2018-12-14,Hunters Point
Liebman’s,552 West 235th St,40.88548,-73.90951,$$,4.0,Delis,Stefanie Tuder,2018-12-14,Spuyten Duyvil
Tom Colicchio,43 East 19th St,40.73818,-73.98866,$$$$,4.0,American (New),Robert Sietsema,2018-12-14,Flatiron District
Padoca Bakery,359 East 68th St,40.7654799,-73.95806999999999,$,4.5,Bakeries,Carla Vianna,2018-12-14,Upper East Side
Pepolino,281 West Broadway,40.72077,-74.00489,$$$,4.0,Tuscan,Robert Sietsema,2018-12-07,Tribeca
Baz Bagel,181 Grand St,40.7193075362767,-73.9977402932106,$$,3.5,Breakfast & Brunch,Stefanie Tuder,2018-12-07,Little Italy
Boqueria,171 Spring St,40.724911999999996,-74.00212990000001,$$$,4.0,Spanish,Robert Sietsema,2018-12-07,SoHo
Hole in the Wall,15 Cliff St,40.70837,-74.00563000000001,$$,4.5,Cocktail Bars,Sonia Chopra,2018-12-07,Financial District
Cervo’s,43 Canal St,40.7149,-73.99132,$$$,4.5,Seafood,Serena Dai,2018-12-07,Lower East Side
Pizza Moto,338 Hamilton Ave,40.6746224,-74.0007999,$$,4.5,Pizza,Monica Burton,2018-11-30,Red Hook
Klom Klorm,181 Wyckoff Ave,40.703109999999995,-73.91708,,5.0,Thai,Patty Diez,2018-11-30,Bushwick
Taste of Persia,12 West 18th St,40.73891,-73.99298,$$,4.5,Persian/Iranian,Stefanie Tuder,2018-11-30,Flatiron District
New Thanh Hoi,234 10th St,40.7291896348333,-74.0433894140167,$$,3.5,Vietnamese,Robert Sietsema,2018-11-30,Downtown
Lahori Chilli,1026 Coney Island Ave,40.632529999999996,-73.96705,$,3.5,Indian,Robert Sietsema,2018-11-16,Kensington
Los Tacos Al Pastor,141 Front St,40.70254,-73.98736,,3.5,Tacos,Carla Vianna,2018-11-16,DUMBO
Nicole’s Caribbean,521 Jersey Ave,40.7208842640608,-74.04677686864801,$,4.0,Caribbean,Robert Sietsema,2018-11-16,Downtown
Zhen Wei Fang,207 Bowery,40.72128,-73.99343,,4.0,Chinese,Serena Dai,2018-11-09,Lower East Side
Il Tinello,16 West 56th St,40.76256,-73.97565999999999,$$$$,4.5,Italian,Stefanie Tuder,2018-11-09,Midtown
Charrua,131 Essex St,40.720040000000004,-73.9876,$$,4.0,Latin American,Robert Sietsema,2018-11-09,Lower East Side
El Quinto Pino,401 West 24th St,40.74743,-74.00124,$$,3.5,Tapas Bars,Carla Vianna,2018-11-09,Chelsea
Empanada Mama,95 Allen St,40.71875631423121,-73.990894515892,$,4.0,Latin American,Patty Diez,2018-11-02,Lower East Side
Misi,329 Kent Ave,40.713409999999996,-73.96661999999999,,4.0,Italian,Daniela Galarza,2018-11-02,Williamsburg
Bunna Cafe,1084 Flushing Ave,40.705042,-73.928078,$$,4.5,Ethiopian,Monica Burton,2018-11-02,Williamsburg
Suede,5610 Clarendon Rd,40.64455,-73.92342,$$,3.5,Caribbean,Robert Sietsema,2018-11-02,East Flatbush
Indikitch,25 West 23rd St,40.742214202880895,-73.9904403686523,$$,4.0,Indian,Sonia Chopra,2018-10-26,Flatiron District
Fifty,50 Commerce St,40.7316062167239,-74.00563235254259,$$$,4.5,Latin American,Robert Sietsema,2018-10-26,West Village
